Heart disease_number
232
4040
1017
3937
18848
1480
2146
4356
331
1820
672
2509
6255
669
1336
1918
2545
3449
1490
10048
14180
266
152
573
7363
238
1154
369
679
3699
594
758
1355
27140
1878
20005
2187
1417
825
4983
61
40012
2933
16378
821
10
130
2406
375
232
75763
2507
748
66065
19531
16729
14230
256
124945
4144
45
6203
7375
1497
476
419
444
44373
1528
470
1696
913
26398
9355
214400
506
2317
2270
288
1026
3907
16890
17184
2374
856
52875
738
2267
4702
1681
3608
4707
1380
1166
876
1093
397
15878
902
6619
1768
1410
2899
3125
6899
1953
3495
1518
3757
50058
5276
808
188
335
104
201
990
1389
5896
2994
650
394
8146
1205
777
2562
3785
919
2274
606
2512
784
2579
695
1320
4984
2468
2969
247
530
7570
1017
3605
7128
2454
1776
1249
3806
1196
2445
2818
1986
4843
5176
15962
36009
1840
1925
50635
173
3912
5732
33226
1165
761
2105
1650
5819
703
13991
3077
1331
207
4837
1596
1831
6567
225
74849
6227
32766
5877
3596
4945
487
1126
323
689
1072
640
1043
2444
5311
301
1463
220
1132
1201
339
3391
1166
606
15980
2343
987
2262
3117
6953
2946
2898
12372
770
1322
9243
1970
3040
2661
62250
739
1517
2816
15219
142
300
2410
2435
567
2342
1517
4214
5756
1477
383
182
407
1166
230
187
1651
2066
2923
13982
35
9349
78363
14844
184
272
1942
9212
1453
1013
10776
880
3014
303
103
115
3135
2173
667
1828
1255
987
3151
3861
83688
1358
1004
998
2004
2268
845
75432
1905
1889
201
2745
455
46347
639
485
3579
40301
1857
213
323
2669
443
12070
41569
599
855
2859
1778
1663
654
3023
1348
4384
23077
3665
1039
9652
3643
30532
2607
9929
2033
13864
1813
789
2285
1448
2728
1418
6655
16794
305
1923
6178
3268
2457
976
1887
4489
2544
3868
7211
112
1431
1114
3193
4757
418
4358
3764
21729
2211
8393
350
2090
1686
13022
1336
2136
677
1947
2199
807
1120
858
2271
404
1059
1286
864
2431
26937
238
498
12104
1822
3581
471
705
2172
764
1021
51
388
903
725
170
14081
393
14926
3790
1816
2061
2112
23900
39828
28883
14899
79
3767
232
8502
3987
6495
56
596
10377
2009
1945
5407
549
1197
1933
2390
7623
449
29069
1185
3882
724
317
8300
2621
78
1376
655
878
3913
475
6246
1555
2614
27656
1162
328
7805
226
912
1496
3376
2317
1859
1875
3235
7005
3481
13649
371
1050
610
21049
1368
2252
4124
1342
2086
501
2400
25402
2450
426
4930
1198
2687
8506
941
1686
818
2117
721
2394
884
3828
5726
11017
88
5182
12913
3349
92
5393
3103
2314
659
1307
3076
4960
6220
1134
5840
114
66
254
656
1893
4427
2812
8722
2453
2806
160
359
805
1429
1829
12183
1980
3160
3074
645
1003
17
421
2560
1977
1302
26396
6521
449
862
653
6897
1478
1373
1128
321
510
340
570
18102
2307
1794
8383
14535
3564
1646
123684
525
339
1120
1413
2783
3209
2905
14162
16028
20306
41823
9649
549
5467
1380
38571
3802
1122
1167
4488
1226
73
1294
7645
3465
2632
1149
2098
2641
481
1998
6494
522
2863
400
2296
793
2152
735
1704
3312
1757
614
526
1146
3433
478
2092
1677
921
260
765
1086
2699
2051
147
558
488
7367
2981
904
7364
8188
5245
1594
16450
383
3026
3851
625
11556
2029
461
40686
356
2063
44960
1861
300
3865
2025
564
669
103
8763
1536
497
7415
377
960
1123
3446
188
175
19360
60329
881
139723
1147
6026
1248
2254
202
4397
633
779
8506
2441
27257
145
1501
2718
9333
1420
7381
2220
1164
2656
3198
1743
682
2655
31550
217
132
917
973
504
1190
796
907
7140
1018
2250
621
78
5548
673
5584
906
12652
371
612
593
2568
3295
6397
995
1448
197
3758
1838
2733
1570
3635
1497
2153
6372
2003
733
519
5173
2782
350
11147
8404
1364
5750
6299
146
13436
36
2631
1478
8090
1390
834
3208
118
431
1706
9790
1225
1295
47
8397
3812
313
1712
1065
52448
10873
23918
4872
1728
924
1465
826
1513
6456
2523
2582
1202
5435
1885
407
2945
6259
1174
1331
317
22389
972
1367
1728
1046
577
3531
2251
691
2267
1421
1318
37986
687
308
1231
5278
6639
1174
4888
2522
1394
5786
407
2635
864
2845
7011
433
508
53
14538
2476
25143
12996
1270
2658
37481
862
4057
475
6368
124
9400
5829
131
59
1565
2165
5633
89
1310
1411
2303
2078
2244
328
560
3139
1999
346
2722
2523
3189
1146
110071
1517
1072
375
1327
7180
734
1187
4043
371
1050
913
49
1363
657
726
2676
4033
25091
754
272
7035
896
4562
2064
710
2421
2632
4559
3296
2528
1709
8569
3351
697
4143
437
4036
12677
4197
19579
221
19213
33840
442
2794
5594
3425
742
1107
372
4686
1327
2593
1206
30044
785
1686
295
997
2290
11389
714
1906
1793
4120
179
569
2505
657
22204
222
22309
1842
1015
3921
1499
5394
4755
34534
2598
209
872
2117
1323
14892
2486
393
2421
1096
822
495
2161
554
4646
1852
1711
3225
273
4447
12367
1668
820
4681
3422
2125
23631
450
587
789
3185
3373
2600
1265
3982
6165
1830
1665
379
2839
942
10041
724
14144
999
1360
1050
1883
10444
460
2856
264
1862
3573
1934
513
3064
1136
4192
23947
2014
434790
24957
312
8376
12381
1276
3206
555
2186
1987
1134
2146
1576
2106
22505
1458
334
136
1107
542
280
253
